,symbol,date,open,close,volume,high,low,split,dividend
252,MSFT,2018-12-31T00:00:00+0000,101.29,101.57,33173765.0,102.4,100.44,1.0,0.0
253,MSFT,2018-12-28T00:00:00+0000,102.09,100.39,38169312.0,102.41,99.52,1.0,0.0
254,MSFT,2018-12-27T00:00:00+0000,99.3,101.18,49498509.0,101.19,96.4,1.0,0.0
255,MSFT,2018-12-26T00:00:00+0000,95.14,100.56,51634793.0,100.69,93.96,1.0,0.0
256,MSFT,2018-12-24T00:00:00+0000,97.68,94.13,43935192.0,97.97,93.98,1.0,0.0
257,MSFT,2018-12-21T00:00:00+0000,101.63,98.23,111242070.0,103.0,97.46,1.0,0.0
258,MSFT,2018-12-20T00:00:00+0000,103.05,101.51,70334184.0,104.31,98.78,1.0,0.0
259,MSFT,2018-12-19T00:00:00+0000,103.65,103.69,68198186.0,106.88,101.35,1.0,0.0
260,MSFT,2018-12-18T00:00:00+0000,103.75,103.97,49319196.0,104.51,102.52,1.0,0.0
261,MSFT,2018-12-17T00:00:00+0000,105.41,102.89,56957314.0,105.8,101.71,1.0,0.0
262,MSFT,2018-12-14T00:00:00+0000,108.25,106.03,47043136.0,109.26,105.5,1.0,0.0
263,MSFT,2018-12-13T00:00:00+0000,109.58,109.45,31333362.0,110.87,108.63,1.0,0.0
264,MSFT,2018-12-12T00:00:00+0000,110.89,109.08,36183020.0,111.27,109.04,1.0,0.0
265,MSFT,2018-12-11T00:00:00+0000,109.8,108.59,42381947.0,110.95,107.44,1.0,0.0
266,MSFT,2018-12-10T00:00:00+0000,104.8,107.59,40801525.0,107.98,103.89,1.0,0.0
267,MSFT,2018-12-07T00:00:00+0000,108.38,104.82,45044937.0,109.45,104.3,1.0,0.0
268,MSFT,2018-12-06T00:00:00+0000,105.82,109.19,49107431.0,109.24,105.0,1.0,0.0
269,MSFT,2018-12-04T00:00:00+0000,111.94,108.52,45196984.0,112.6373,108.2115,1.0,0.0
270,MSFT,2018-12-03T00:00:00+0000,113.0,112.09,34732772.0,113.42,110.73,1.0,0.0
271,MSFT,2018-11-30T00:00:00+0000,110.7,110.89,33665624.0,110.97,109.36,1.0,0.0
272,MSFT,2018-11-29T00:00:00+0000,110.33,110.19,28123195.0,111.115,109.03,1.0,0.0
273,MSFT,2018-11-28T00:00:00+0000,107.89,111.12,46788461.0,111.33,107.86,1.0,0.0
274,MSFT,2018-11-27T00:00:00+0000,106.27,107.14,29124486.0,107.33,105.36,1.0,0.0
275,MSFT,2018-11-26T00:00:00+0000,104.79,106.47,32336165.0,106.63,104.58,1.0,0.0
276,MSFT,2018-11-23T00:00:00+0000,102.17,103.07,13823099.0,103.8099,102.0,1.0,0.0
277,MSFT,2018-11-21T00:00:00+0000,103.6,103.11,28130621.0,104.43,102.24,1.0,0.0
278,MSFT,2018-11-20T00:00:00+0000,101.8,101.71,64052457.0,102.97,99.3528,1.0,0.0
279,MSFT,2018-11-19T00:00:00+0000,108.27,104.62,44773899.0,108.56,103.55,1.0,0.0
280,MSFT,2018-11-16T00:00:00+0000,107.08,108.29,33502121.0,108.88,106.8,1.0,0.0
281,MSFT,2018-11-15T00:00:00+0000,104.99,107.28,38505165.0,107.8,103.91,1.0,0.0
282,MSFT,2018-11-14T00:00:00+0000,108.1,104.97,39495141.0,108.26,104.47,1.0,0.46
283,MSFT,2018-11-13T00:00:00+0000,107.55,106.94,35374583.0,108.74,106.64,1.0,0.0
284,MSFT,2018-11-12T00:00:00+0000,109.42,106.87,33621807.0,109.96,106.1,1.0,0.0
285,MSFT,2018-11-09T00:00:00+0000,110.85,109.57,32039223.0,111.45,108.76,1.0,0.0
286,MSFT,2018-11-08T00:00:00+0000,111.8,111.75,25644105.0,112.21,110.91,1.0,0.0
287,MSFT,2018-11-07T00:00:00+0000,109.44,111.96,37901704.0,112.24,109.4,1.0,0.0
288,MSFT,2018-11-06T00:00:00+0000,107.38,107.72,24340248.0,108.84,106.28,1.0,0.0
289,MSFT,2018-11-05T00:00:00+0000,106.37,107.51,27922144.0,107.74,105.9,1.0,0.0
290,MSFT,2018-11-02T00:00:00+0000,106.48,106.16,37680194.0,107.32,104.975,1.0,0.0
291,MSFT,2018-11-01T00:00:00+0000,107.05,105.92,33384201.0,107.32,105.53,1.0,0.0
292,MSFT,2018-10-31T00:00:00+0000,105.435,106.81,51062383.0,108.14,105.39,1.0,0.0
293,MSFT,2018-10-30T00:00:00+0000,103.66,103.73,65350878.0,104.38,100.11,1.0,0.0
294,MSFT,2018-10-29T00:00:00+0000,108.105,103.85,55162001.0,108.7,101.63,1.0,0.0
